product_id,name,description,category,price,rating,in_stock
af494c87-46d0-4455-abeb-5aac0fdb9c39,Lightweight Device,A highly lightweight device perfect for your sports needs. Features advanced technology and easy setup.,Sports,375.18,1.3,true
a9493f2e-ebcd-4786-bcfd-72c91f81f56e,Durable Device,A highly durable device perfect for your books needs. Features advanced technology and easy setup.,Books,478.37,3.1,false
3a805579-c882-4197-8a84-8292532c095c,Premium Accessory,A highly premium accessory perfect for your electronics needs. Features advanced technology and easy setup.,Electronics,441.05,2.3,false
899516e6-22ab-405d-b4b8-ab316313d83c,Premium System,A highly premium system perfect for your electronics needs. Features advanced technology and easy setup.,Electronics,288.31,1.5,true
735f6716-17c4-4eb8-8e12-ec49a253452a,Compact Widget,A highly compact widget perfect for your toys needs. Features advanced technology and easy setup.,Toys,473.53,2.7,true
070512e1-affc-4a95-a110-8f30d7251eea,Premium Tool,A highly premium tool perfect for your electronics needs. Features advanced technology and easy setup.,Electronics,386.73,3.2,false
e013c4d4-2795-4db5-b31c-5ea00cb2dfe5,Ergonomic Accessory,A highly ergonomic accessory perfect for your home & kitchen needs. Features advanced technology and easy setup.,Home & Kitchen,244.17,3.7,false
69582e78-3be4-4660-93e1-4e9cbd9eeab4,Compact Accessory,A highly compact accessory perfect for your electronics needs. Features advanced technology and easy setup.,Electronics,68.86,2.4,true
c49032ab-c94b-444d-8c58-8f3ad1a47c8c,Versatile Widget,A highly versatile widget perfect for your toys needs. Features advanced technology and easy setup.,Toys,454.71,5.0,false
07770978-8528-4712-8138-44545ff61c93,Premium System,A highly premium system perfect for your sports needs. Features advanced technology and easy setup.,Sports,407.55,1.2,false
5f85f1cb-24d3-4ea5-9a4d-160055f144fc,Compact Tool,A highly compact tool perfect for your sports needs. Features advanced technology and easy setup.,Sports,45.97,4.6,true
77bbe118-f53c-4894-91dd-386af2db0429,Durable Widget,A highly durable widget perfect for your books needs. Features advanced technology and easy setup.,Books,25.24,2.3,false
67ea5f44-f48c-4c24-af26-49d277989f5e,Lightweight Tool,A highly lightweight tool perfect for your books needs. Features advanced technology and easy setup.,Books,133.44,3.2,false
177e04e4-8d21-4317-a07e-2499d2a91dd4,Premium Tool,A highly premium tool perfect for your home & kitchen needs. Features advanced technology and easy setup.,Home & Kitchen,248.72,4.7,false
86c9a628-0d7c-4279-98c6-366b2d4e331b,Premium Gadget,A highly premium gadget perfect for your sports needs. Features advanced technology and easy setup.,Sports,212.5,3.4,true
75c97b84-e4fe-42eb-8b1a-c613d6bba536,Ergonomic Device,A highly ergonomic device perfect for your home & kitchen needs. Features advanced technology and easy setup.,Home & Kitchen,146.91,1.8,true
e8c6f3ab-393a-4ad2-8658-110881a689a2,Ergonomic System,A highly ergonomic system perfect for your electronics needs. Features advanced technology and easy setup.,Electronics,408.0,3.4,false
3486459e-1639-4864-91e4-09fb5247fb5c,Lightweight Accessory,A highly lightweight accessory perfect for your sports needs. Features advanced technology and easy setup.,Sports,27.02,1.8,false
4c720501-3bea-4985-831d-46e53bcd5d3d,Premium System,A highly premium system perfect for your home & kitchen needs. Features advanced technology and easy setup.,Home & Kitchen,463.86,2.4,false
b1b5aa27-1edc-42a7-8569-7b9b882e0dff,Ergonomic System,A highly ergonomic system perfect for your books needs. Features advanced technology and easy setup.,Books,134.52,3.0,true
c264db78-cf32-4d7f-aa9e-6fa002c88d85,Versatile Device,A highly versatile device perfect for your books needs. Features advanced technology and easy setup.,Books,154.85,4.5,false
